"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"2018/01/05","®H¨½","O3",17,17,15,13,13,8.3,4,4.6,4.4,4.6,6.7,9,13,22,28,29,21,9.4,6.3,4.3,2.9,2.7,2.4,2.3
"2018/01/05","®H¨½","PM10",37,31,30,34,34,32,32,33,32,34,32,27,26,18,9,7,11,25,34,36,43,40,36,35
"2018/01/05","®H¨½","SO2",1.1,1.7,1.5,2.6,1.9,1.5,3.5,2.8,3,3.6,4,4,3.9,3,2.2,1.5,1.2,1.4,1.8,2.4,3.5,4.7,4.5,4
"2018/01/06","®H¨½","CO",0.55,0.47,0.44,0.39,0.39,0.41,0.45,0.54,0.56,0.44,0.41,0.35,0.28,0.23,0.28,0.29,0.36,0.44,0.41,0.4,0.43,0.49,0.51,0.54
"2018/01/06","®H¨½","NOx",28,25,23,19,16,21,24,28,32,22,20,18,12,8.5,11,13,14,19,17,15,17,22,24,28
"2018/01/06","®H¨½","O3",2.3,2.3,2.3,2.1,2,2.5,2.5,2.9,3.6,5.3,7.2,10,13,18,17,21,22,13,23,26,17,8.9,6.1,3.8
"2018/01/06","®H¨½","PM10",33,35,34,30,31,35,36,39,42,35,28,28,19,11,13,10,8,12,19,21,14,9,10,10
"2018/01/06","®H¨½","SO2",2.9,1.8,1.6,1.2,1.1,1,1.4,1.3,2.7,1.7,1.5,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2018/01/07","®H¨½","CO",0.46,0.3,0.31,0.32,0.33,0.35,0.38,0.39,0.43,0.38,0.45,0.42,0.46,0.46,0.51,0.43,0.46,0.61,0.69,0.73,0.59,0.63,0.61,0.62
"2018/01/07","®H¨½","NOx",25,14,14,14,15,16,19,17,20,16,19,17,18,20,24,18,18,26,30,34,29,29,25,28
"2018/01/07","®H¨½","O3",6.4,12,9.9,8.2,6.6,5.5,3.3,5.4,7.7,8.9,10,13,8.8,7.7,8.2,9.7,7.3,3.1,3,2.6,2.3,2.3,2.5,2.5
"2018/01/07","®H¨½","PM10",6,5,7,6,5,7,6,2,6,6,3,6,9,16,18,15,15,19,21,23,22,21,22,22
"2018/01/07","®H¨½","SO2",2,1.2,1,0.9,0.9,0.9,1.3,1.1,2.2,1.4,1.6,1.6,1.4,1.7,2,1.7,1.5,1.8,2.1,2.9,2.9,3.2,3.4,3.3
"2018/01/08","®H¨½","CO",0.62,0.52,0.52,0.51,0.43,0.41,0.44,0.61,0.74,0.55,0.74,0.86,0.6,0.25,0.26,0.33,0.35,0.44,0.35,0.3,0.3,0.26,0.22,0.21
"2018/01/08","®H¨½","NOx",29,21,22,21,15,14,18,22,38,20,29,37,33,12,12,15,21,23,18,15,14,12,9.2,8.2
"2018/01/08","®H¨½","O3",2.4,2.3,2.2,2.4,2.4,5.5,2.7,3.4,4.1,7.5,5,4.5,13,27,27,24,16,13,17,20,20,19,21,22
"2018/01/08","®H¨½","PM10",27,27,23,26,24,21,26,29,32,35,35,37,34,16,5,7,8,10,12,10,4,5,7,5
"2018/01/08","®H¨½","SO2",1.9,2.1,2.1,2.5,1.9,1.9,2,1.8,4.2,3.2,3.3,4.1,4.5,3.6,2.3,2,1.6,1.5,1.4,1.3,1.2,1,0.7,0.7
"2018/01/09","®H¨½","CO",0.17,0.16,0.16,0.15,0.15,0.16,0.19,0.34,0.35,0.32,0.25,0.27,0.27,0.26,0.26,0.3,0.36,0.39,0.36,0.26,0.26,0.38,0.4,0.37
"2018/01/09","®H¨½","NOx",4.9,4.4,4.2,3.6,3.3,3.7,5.9,14,15,16,15,14,14,12,14,16,19,20,17,13,13,12,12,11
"2018/01/09","®H¨½","O3",29,30,31,34,39,38,32,27,26,24,28,30,29,29,25,22,19,15,18,25,24,18,18,20
"2018/01/09","®H¨½","PM10",6,6,5,5,8,9,8,6,6,10,11,10,7,8,9,7,9,11,11,10,10,10,9,11
"2018/01/09","®H¨½","SO2",2.5,1.9,1.9,1.4,1.3,1.2,1.3,1.4,1.8,3.3,2.8,2.5,2.6,2.2,2.2,2.3,2.3,2.4,2.6,2.9,2.9,2.4,2.7,2.2
"2018/01/10","®H¨½","CO",0.38,0.3,0.28,0.27,0.25,0.25,0.31,0.43,0.54,0.55,0.37,0.24,0.23,0.21,0.24,0.26,0.35,0.4,0.47,0.53,0.39,0.39,0.37,0.35
"2018/01/10","®H¨½","NOx",9.5,8.8,7.6,7.4,6.7,6.6,10,17,24,24,17,8.3,9,8.3,8.6,9.5,13,17,23,26,17,17,16,15
"2018/01/10","®H¨½","O3",21,26,27,26,27,25,19,13,12,16,22,31,35,38,39,45,46,40,28,19,18,15,18,16
"2018/01/10","®H¨½","PM10",11,10,4,3,7,9,11,13,12,15,17,11,7,9,11,16,26,36,40,39,34,35,36,32
"2018/01/10","®H¨½","SO2",2.1,1.8,1.6,1.3,1.2,1.1,1.2,1.9,2.4,2.9,3.1,2.6,2.6,1.9,1.5,1.4,1.7,2.2,2.3,2.4,2.3,2.5,2.4,2.4
"2018/01/11","®H¨½","CO",0.32,0.34,0.32,0.32,0.32,0.32,0.34,0.47,0.4,0.43,0.37,0.3,0.28,0.28,0.28,NA,0.29,0.4,0.61,0.51,0.39,0.39,0.35,0.35
"2018/01/11","®H¨½","NOx",12,12,9.2,8.9,8.4,9.6,10,20,13,17,13,9.3,8.6,7.7,8.6,NA,8.7,17,33,28,17,16,14,15
"2018/01/11","®H¨½","O3",16,13,15,13,12,10,8.1,5.3,9.3,12,16,21,24,37,48,NA,50,43,20,15,22,18,14,9
"2018/01/11","®H¨½","PM10",33,32,29,27,30,36,34,34,34,33,37,32,24,23,26,NA,29,34,44,45,39,35,31,28
"2018/01/11","®H¨½","SO2",1.7,2.2,1.7,1.6,1.5,1.8,1.5,2.4,2,2.3,2.4,2.1,2.1,1.9,1.8,NA,1.5,2,2.4,3.5,2.9,2.9,2.6,3.7
"2018/01/12","®H¨½","CO",0.32,0.28,0.27,0.28,0.27,0.27,0.29,0.35,0.38,0.34,0.36,0.24,0.19,0.21,0.19,0.22,0.28,0.4,0.57,0.51,0.65,0.54,0.42,0.38
"2018/01/12","®H¨½","NOx",12,9.6,9,9.4,9.3,9,9.5,15,17,14,15,10,7.3,9.2,7.1,9.1,14,23,28,25,38,33,23,18
"2018/01/12","®H¨½","O3",9.5,9.7,11,8.1,9.8,10,9.5,7.1,11,18,28,37,42,45,51,52,47,36,24,19,6.1,5.5,8,9.1
"2018/01/12","®H¨½","PM10",26,22,24,29,29,27,29,33,32,28,24,19,14,16,16,20,27,34,41,41,39,40,35,30
"2018/01/12","®H¨½","SO2",2.4,1.4,1.3,1.2,1.1,1.1,1.1,1.3,1.6,2,2.2,2,1.8,1.6,1.1,1.2,1.4,2.2,2.3,2.6,3.3,4.5,4.3,3.4
"2018/01/13","®H¨½","CO",0.32,0.37,0.3,0.27,0.3,0.3,0.34,0.39,0.51,0.44,0.41,0.23,0.19,0.25,0.3,0.3,0.3,0.43,0.58,0.55,0.57,0.65,0.48,0.5
"2018/01/13","®H¨½","NOx",15,13,9.9,8,7.8,9.9,16,14,24,19,18,7.1,NA,NA,8.7,9.7,10,19,25,25,30,33,20,21
"2018/01/13","®H¨½","O3",10,6.3,8.1,9,6.5,4.4,2.9,7.5,9.5,20,31,50,52,55,62,66,65,52,35,28,16,9.7,14,9.4
"2018/01/13","®H¨½","PM10",33,32,26,20,18,18,19,19,21,25,29,27,19,22,35,38,33,32,40,45,43,48,47,41
"2018/01/13","®H¨½","SO2",2.3,1.4,2,1.1,0.8,0.8,0.9,0.7,1.3,1.6,2.2,1.5,0.9,0.7,0.5,0.4,0.4,0.6,0.9,1.4,2.3,2.3,2.8,2.4
"2018/01/14","®H¨½","CO",0.44,0.39,0.36,0.33,0.32,0.35,0.4,0.53,0.63,0.61,0.56,0.26,0.19,0.17,0.22,0.29,0.34,0.43,0.59,0.71,0.72,0.6,0.49,0.46
"2018/01/14","®H¨½","NOx",18,13,10,9,9.1,13,18,27,27,25,19,9.2,5.8,4.7,6.4,10,15,20,25,33,33,25,22,19
"2018/01/14","®H¨½","O3",9,9.7,11,13,9.7,4.1,3.2,4.6,11,23,39,49,53,53,56,68,69,59,37,24,16,20,15,13
"2018/01/14","®H¨½","PM10",36,34,33,28,27,27,29,32,31,29,29,21,19,20,17,23,34,41,41,42,47,42,36,36
"2018/01/14","®H¨½","SO2",2.3,2,1.4,1.4,1.5,1.3,1.2,1.8,2.4,3.2,2.9,2.2,1.4,0.6,0.3,0.2,0.6,0.8,1,1.7,2.7,2.8,4.1,3.5
"2018/01/15","®H¨½","CO",0.39,0.34,0.31,0.26,0.26,0.25,0.31,0.57,0.73,0.69,0.64,0.39,0.21,0.16,0.27,0.3,0.31,0.69,0.7,0.81,0.79,0.89,0.52,0.51
"2018/01/15","®H¨½","NOx",14,13,12,9,9.5,10,14,31,37,33,30,23,11,6.7,12,15,16,37,32,48,42,51,30,28
"2018/01/15","®H¨½","O3",15,12,12,16,11,12,8.1,5.3,12,24,38,43,47,50,66,79,77,49,39,17,16,6.3,12,11
"2018/01/15","®H¨½","PM10",32,29,30,27,24,21,19,27,36,37,35,32,21,13,19,29,35,44,53,57,59,54,47,42
"2018/01/15","®H¨½","SO2",1.8,1.6,2.5,1.4,0.8,1.5,0.7,1.6,2.7,3.5,3.9,3.2,2.3,1.1,0.7,0.7,0.8,1.9,1.8,3.2,4.1,4.9,4.6,4.3
"2018/01/16","®H¨½","CO",0.35,0.38,0.35,0.31,0.31,0.31,0.39,0.64,0.78,0.64,0.55,0.34,0.23,0.26,0.37,0.52,0.63,1.07,0.85,0.93,0.83,1.03,0.68,0.66
"2018/01/16","®H¨½","NOx",17,14,12,8.7,11,11,17,29,34,25,22,14,11,12,NA,24,30,53,36,40,36,51,28,30
"2018/01/16","®H¨½","O3",17,12,12,14,9.3,9.8,5.8,5.7,14,28,37,43,45,56,67,70,65,31,30,20,18,5.6,14,7
"2018/01/16","®H¨½","PM10",34,29,31,32,31,24,23,32,35,30,28,24,16,18,NA,34,38,53,61,57,53,52,49,45
"2018/01/16","®H¨½","SO2",3.9,1.9,1.4,0.5,1.1,0.7,0.5,0.9,1.7,2.2,2.5,2,1.4,0.6,NA,2.7,3.2,4.8,4.6,5.3,6.1,6.9,7.1,7.4
"2018/01/17","®H¨½","CO",0.59,0.42,0.39,0.38,0.34,0.39,0.46,0.79,0.64,0.58,0.47,0.28,0.19,0.16,0.31,0.35,0.34,0.66,0.88,0.89,0.84,0.93,0.64,0.59
"2018/01/17","®H¨½","NOx",24,15,12,12,11,12,19,36,28,24,19,10,8.3,6.7,11,15,17,28,36,43,40,46,26,26
"2018/01/17","®H¨½","O3",6.7,11,15,12,14,8.5,7,5.3,15,26,37,46,42,36,58,64,59,43,22,12,6.9,4.3,6.5,4.2
"2018/01/17","®H¨½","PM10",41,36,31,28,27,27,30,37,41,36,31,20,10,6,14,27,31,40,51,59,55,55,49,35
"2018/01/17","®H¨½","SO2",6,3.3,1.1,0.8,0.8,0.1,0.4,1.4,2.8,2.2,2.4,1.4,NA,NA,NA,NA,NA,NA,1,2.2,3.9,3.8,3.6,3.8
"2018/01/18","®H¨½","CO",0.56,0.41,0.35,0.33,0.32,0.32,0.4,0.67,0.86,1.09,0.5,0.55,0.31,0.17,0.26,0.45,0.58,0.65,0.85,0.76,0.93,0.68,0.64,0.57
"2018/01/18","®H¨½","NOx",23,14,13,13,11,13,22,37,50,57,29,24,13,7.5,11,17,21,29,37,31,40,31,29,25
"2018/01/18","®H¨½","O3",3.8,6.7,6.8,5.5,4.7,3.5,2.7,3.7,4.4,8,18,33,37,31,40,68,81,66,49,44,21,20,15,14
"2018/01/18","®H¨½","PM10",33,28,23,23,20,19,22,29,39,47,42,29,17,11,15,30,44,57,74,74,74,82,76,65
"2018/01/18","®H¨½","SO2",3.4,2.2,1.6,1.7,1.3,1.1,1.8,2.9,3.4,5.1,5.2,4.3,2.7,1.1,0.3,0.1,0.1,0.8,1.1,1.1,2.1,2.6,3.1,2.3
"2018/01/19","®H¨½","CO",0.54,0.45,0.45,0.41,0.34,0.29,0.31,0.51,0.6,0.65,0.63,0.47,0.53,0.43,0.46,0.42,0.49,0.61,0.74,0.79,0.78,0.84,0.68,0.67
"2018/01/19","®H¨½","NOx",23,19,19,16,12,11,13,21,29,35,33,21,25,17,21,19,20,23,29,30,32,33,25,25
"2018/01/19","®H¨½","O3",16,14,12,13,23,23,19,12,8.6,13,14,20,20,20,22,22,20,19,12,9.8,5.7,3.7,5.7,4.1
"2018/01/19","®H¨½","PM10",63,60,53,46,40,30,21,20,21,23,26,24,26,23,24,28,27,37,51,60,64,63,59,56
"2018/01/19","®H¨½","SO2",2.9,2.7,2.2,1.7,1.5,1.2,1.3,1.3,2,2.6,3.4,3.3,3.9,2.9,2.7,2.1,1.9,1.8,2,2.4,3.1,3.2,3.3,3.2
"2018/01/20","®H¨½","CO",0.67,0.68,0.63,0.49,0.5,0.38,0.39,0.42,0.51,0.36,0.43,0.35,0.31,0.33,0.42,0.41,0.52,0.5,0.52,0.61,0.64,0.6,0.6,0.56
"2018/01/20","®H¨½","NOx",24,23,23,17,17,11,14,13,17,11,14,12,9.5,9.6,12,11,12,18,18,20,21,20,21,18
"2018/01/20","®H¨½","O3",3.5,2.8,2.3,2.1,2.4,4.4,3.5,5.3,6.9,10,13,22,30,31,49,52,49,40,35,28,20,18,13,8.2
"2018/01/20","®H¨½","PM10",55,52,45,37,37,33,24,24,33,30,23,22,15,13,29,43,47,52,56,68,77,80,77,73
"2018/01/20","®H¨½","SO2",2.9,2.4,2.1,1.8,1.6,1.6,1.3,0.9,1.2,1,1,1.1,0.7,0.4,0.5,0.2,0.1,0.6,0.4,1.4,1.5,2.3,3.4,2.2
"2018/01/21","®H¨½","CO",0.49,0.54,0.45,0.44,0.42,0.4,0.41,0.45,0.43,0.46,0.49,0.36,0.29,0.35,0.37,0.44,0.5,0.55,0.61,0.66,0.7,0.64,0.64,0.63
"2018/01/21","®H¨½","NOx",15,16,12,11,11,10,9.9,11,11,11,13,9.1,6.7,6.7,8.4,9,11,12,15,19,22,18,19,17
"2018/01/21","®H¨½","O3",10,5,4.7,4.2,3.9,5.9,5.8,7.1,8.2,13,24,37,38,42,48,57,55,48,42,31,25,22,17,11
"2018/01/21","®H¨½","PM10",68,63,55,50,49,49,48,49,43,34,33,31,22,27,39,44,58,74,84,88,87,87,84,79
"2018/01/21","®H¨½","SO2",3.2,3.2,2.8,3.1,3.5,1.9,1.6,1.7,1.9,1.7,1.9,1.6,1.4,9.2,5.2,1.3,1.2,0.9,1.4,1.6,2.2,2.4,3.3,2.4
"2018/01/22","®H¨½","CO",0.55,0.55,0.51,0.48,0.47,0.32,0.3,0.4,0.34,0.28,0.23,0.28,0.25,0.23,0.22,NA,0.31,0.54,0.56,0.56,0.57,0.56,0.53,0.55
"2018/01/22","®H¨½","NOx",14,15,14,12,11,9.4,9,15,13,13,11,11,11,12,9.9,NA,13,21,23,21,20,19,16,17
"2018/01/22","®H¨½","O3",14,8.6,8.3,8,6.1,11,15,18,20,24,28,31,34,34,35,NA,28,41,38,33,30,29,28,21
"2018/01/22","®H¨½","PM10",78,78,76,69,60,46,32,25,21,18,16,19,16,11,11,NA,20,34,59,68,71,80,86,86
"2018/01/22","®H¨½","SO2",2.9,2.7,2.6,2.1,1.8,1.8,1.3,1.6,1.7,2.1,1.8,1.7,1.8,1.8,1.3,NA,0.8,1.4,1.8,2,2.1,2.1,2.1,2.6
"2018/01/23","®H¨½","CO",0.57,0.59,0.58,0.57,0.58,0.58,0.34,0.65,0.7,0.46,0.36,0.26,0.23,0.25,0.26,0.29,0.41,0.44,0.64,0.69,0.61,0.65,0.51,0.42
"2018/01/23","®H¨½","NOx",17,15,13,13,13,13,11,23,31,17,12,7.9,7.3,7.8,9.2,9.2,14,16,26,29,25,28,23,14
"2018/01/23","®H¨½","O3",16,14,16,16,12,9.4,15,11,8.2,19,31,43,48,55,56,65,77,67,37,25,23,12,12,21
"2018/01/23","®H¨½","PM10",81,71,66,67,67,64,47,33,42,49,44,29,16,15,18,21,28,41,51,53,51,52,51,43
"2018/01/23","®H¨½","SO2",2.8,2.2,2.2,2.2,2.2,2.5,2,2.3,4.1,4,3.5,2.7,2.1,1.5,1.2,1.2,1.7,2,2.7,3.3,3.6,4.3,4.8,3.8
"2018/01/24","®H¨½","CO",0.42,0.38,0.39,0.34,0.35,0.31,0.36,0.53,0.56,0.53,NA,0.25,0.18,0.26,0.22,0.26,0.3,0.5,0.77,0.64,0.76,0.6,0.56,0.5
"2018/01/24","®H¨½","NOx",14,13,12,10,11,11,15,20,27,28,NA,9.7,6.5,8.8,7.2,8.1,9.8,18,30,24,38,27,20,17
"2018/01/24","®H¨½","O3",11,7.7,4.9,7.4,5.4,5.5,3.9,6,7.9,15,NA,43,44,58,59,66,69,71,38,36,18,24,23,20
"2018/01/24","®H¨½","PM10",39,40,36,32,30,28,27,29,30,32,NA,22,15,13,18,24,28,39,56,53,54,59,56,53
"2018/01/24","®H¨½","SO2",2.7,2.6,1.6,1.6,1.1,1.5,1.5,1.7,2.1,3.1,NA,2.3,1.6,1,0.6,0.4,0.4,1,1.5,2,3.2,5.2,3.6,3.3
"2018/01/25","®H¨½","CO",0.49,0.4,0.38,0.33,0.36,0.36,0.4,0.53,0.79,0.79,0.51,0.24,0.22,0.27,0.29,0.29,0.37,0.41,0.63,0.65,0.61,0.54,0.41,0.36
"2018/01/25","®H¨½","NOx",15,13,12,11,12,13,18,26,39,35,21,9.7,8.5,10,12,12,16,17,25,26,29,24,16,14
"2018/01/25","®H¨½","O3",14,16,16,16,8.8,8.4,4.8,4.8,8.9,22,37,42,45,54,63,64,62,64,39,28,25,24,25,22
"2018/01/25","®H¨½","PM10",47,41,43,40,32,29,34,39,42,46,40,25,15,13,14,21,25,31,43,45,43,45,37,29
"2018/01/25","®H¨½","SO2",2.7,2.7,2.1,2.7,1.9,1.8,1.4,2,3.1,3.1,3.4,2.5,1.5,0.8,0.4,0.3,0.6,2,1.4,1.9,3.3,3,3,2.6
"2018/01/26","®H¨½","CO",NA,0.28,0.32,0.24,0.25,0.24,0.32,0.44,0.7,0.7,0.55,0.34,0.16,0.18,0.25,0.32,0.31,0.35,0.4,0.43,0.45,0.43,0.45,0.38
"2018/01/26","®H¨½","NOx",NA,12,12,9.1,11,9.7,15,27,39,39,30,21,8.3,7.8,11,16,16,18,20,22,25,23,26,22
"2018/01/26","®H¨½","O3",17,17,14,17,11,11,6.5,5,7.2,17,32,40,42,47,60,63,56,45,38,30,21,17,11,11
"2018/01/26","®H¨½","PM10",31,29,28,24,16,16,19,25,31,36,35,25,14,11,21,33,39,32,30,33,32,31,32,30
"2018/01/26","®H¨½","SO2",NA,3.8,2.5,1.6,2.1,1.8,2.1,3.3,3.9,4.3,4.6,4.7,4,1.7,1.2,1.4,1.1,1.7,2.5,2.9,2.7,2.6,3.7,3.2
"2018/01/27","®H¨½","CO",0.37,0.37,0.32,0.32,0.32,0.32,0.34,0.43,0.56,0.49,0.42,0.35,0.31,0.31,0.33,0.34,0.38,0.44,0.58,0.5,0.54,0.5,0.49,0.48
"2018/01/27","®H¨½","NOx",20,20,17,17,17,17,18,22,33,30,30,22,12,12,12,14,15,19,28,26,24,23,21,21
"2018/01/27","®H¨½","O3",11,7.7,9.6,6.5,5.6,4,3.4,3.7,4.3,13,25,35,40,40,39,38,37,32,18,18,17,14,13,7.5
"2018/01/27","®H¨½","PM10",26,23,24,25,23,26,28,29,35,40,37,34,35,34,37,41,46,49,52,57,58,58,56,55
"2018/01/27","®H¨½","SO2",3.1,2.5,2.1,2.1,1.4,2.3,1.7,1.8,3.5,3,4,4.7,3.4,2.8,2.8,3.1,1.3,5.7,4.1,3,3.1,3.3,2.9,2.7
"2018/01/28","®H¨½","CO",0.43,0.43,0.4,0.41,0.41,0.38,0.38,0.41,0.47,0.43,0.39,0.41,0.39,0.33,0.31,0.34,0.39,0.47,0.49,0.48,0.36,0.38,0.31,0.31
"2018/01/28","®H¨½","NOx",17,14,11,12,12,12,11,12,13,11,10,11,10,8.8,7.9,10,13,14,18,19,12,14,11,9.6
"2018/01/28","®H¨½","O3",8.1,9.4,12,8.2,6.5,8.4,14,15,16,22,24,28,36,37,37,37,32,28,20,14,20,19,23,22
"2018/01/28","®H¨½","PM10",50,51,54,49,52,55,51,49,50,47,43,41,32,27,28,27,28,36,39,35,28,23,20,15
"2018/01/28","®H¨½","SO2",2.4,2.4,2.2,1.8,2.2,1.8,1.5,1.9,1.7,1.7,2.9,2.7,1.5,1.5,1.8,1.3,1.8,1.5,1.5,1.7,1.3,1.6,1.4,1.3
"2018/01/29","®H¨½","CO",0.32,0.33,0.34,0.35,0.34,0.31,0.32,0.37,0.36,0.31,0.31,0.37,0.38,0.35,0.39,0.42,0.44,0.46,0.44,0.42,0.45,0.43,0.41,0.42
"2018/01/29","®H¨½","NOx",9.5,9.4,10,12,11,9.2,11,15,13,12,13,14,14,14,18,21,21,20,18,15,16,16,14,14
"2018/01/29","®H¨½","O3",18,14,10,8.6,8.5,11,9.9,6.2,8.2,8.7,9.8,11,14,15,18,17,14,12,13,14,10,8,9,7.4
"2018/01/29","®H¨½","PM10",9,9,11,12,13,14,13,10,12,11,9,9,11,15,21,24,25,27,22,20,18,13,13,12
"2018/01/29","®H¨½","SO2",2.2,1.8,1.8,1.9,1.9,1.9,1.7,2.2,2.1,2.2,2.4,2.3,2.3,2.6,2.3,2.3,2.2,2.1,2.2,2.2,2.2,2.2,2.1,2.1
"2018/01/30","®H¨½","CO",0.42,0.39,0.39,0.4,0.41,0.43,0.45,0.49,0.52,0.5,0.54,0.5,0.44,0.44,0.41,0.39,0.5,0.61,0.64,0.56,0.55,0.56,0.55,0.52
"2018/01/30","®H¨½","NOx",12,11,11,11,11,11,11,14,18,16,17,17,14,14,11,9.7,16,21,22,22,20,20,21,19
"2018/01/30","®H¨½","O3",8.3,7.9,7.7,7.6,8.2,6.8,9.7,13,12,14,15,15,18,20,35,40,30,24,18,13,11,6.2,3.6,4
"2018/01/30","®H¨½","PM10",10,10,9,10,11,8,8,6,8,8,9,13,13,11,16,26,32,37,37,36,36,31,29,32
"2018/01/30","®H¨½","SO2",2.1,1.7,1.7,1.7,1.6,1.7,1.7,1.9,2.2,2.4,2.2,2.7,2.4,2.3,1.9,1.7,2,2.6,2.6,2.9,3.1,3.4,3.6,3.2
"2018/01/31","®H¨½","CO",0.46,0.43,0.44,0.43,0.41,0.43,0.45,0.56,0.55,0.55,0.51,0.36,0.33,NA,0.43,0.5,0.56,0.64,0.6,0.54,0.47,0.43,0.37,0.33
"2018/01/31","®H¨½","NOx",14,10,12,11,10,10,9.7,16,17,19,15,11,8.5,NA,13,18,20,24,24,22,20,17,14,11
"2018/01/31","®H¨½","O3",7.8,5.4,4.2,5.6,6.6,6.8,11,7.6,8.9,13,19,23,NA,35,40,42,46,37,29,19,15,14,16,15
"2018/01/31","®H¨½","PM10",34,30,29,27,26,31,27,22,28,30,30,24,NA,21,NA,39,46,50,50,44,38,36,29,21
"2018/01/31","®H¨½","SO2",2.1,2.2,2.9,1.6,1.4,1.3,1.1,1.6,1.8,2.1,2.1,1.9,1.5,NA,0.9,1,1.1,1.5,1.6,1.8,1.9,1.7,1.6,1.5
"2018/02/01","®H¨½","CO",0.31,0.31,0.31,0.31,0.32,0.34,0.38,0.44,0.49,0.43,0.42,0.43,0.38,0.43,0.49,0.48,0.6,0.73,0.72,0.71,0.72,0.74,0.75,0.75
"2018/02/01","®H¨½","NOx",9.6,9,8.9,8.4,9.3,10,11,12,15,12,12,12,9.8,11,12,12,15,22,20,18,17,17,17,17
